,carrier,type,p_nom,bus,Turbine Capacity (MW),marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,capital_cost
West Burton,Coal,Conventional steam,0.0,Keadby,,,1.0,1.0,1.0,50525.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,116.67140197753906,Walpole,,100.0,1.0,1.0,1.0,53893.33333333333
Baglan Bay CCS Gas,CCS Gas,CCS Gas,74.07707977294922,Melksham,,100.0,1.0,1.0,1.0,53893.33333333333
Severn Power CCS Gas,CCS Gas,CCS Gas,121.08753967285156,Melksham,,100.0,1.0,1.0,1.0,53893.33333333333
Blackburn CCS Gas,CCS Gas,CCS Gas,8.547355651855469,Penwortham,,100.0,1.0,1.0,1.0,53893.33333333333
Damhead Creek CCS Gas,CCS Gas,CCS Gas,114.67701721191406,Kemsley,,100.0,1.0,1.0,1.0,53893.33333333333
Rye House CCS Gas,CCS Gas,CCS Gas,101.85598754882812,Pelham,,100.0,1.0,1.0,1.0,53893.33333333333
Shoreham CCS Gas,CCS Gas,CCS Gas,59.83148956298828,Lovedean,,100.0,1.0,1.0,1.0,53893.33333333333
Castleford CCS Gas,CCS Gas,CCS Gas,7.977531909942627,Thornton/Drax/Eggborough,,100.0,1.0,1.0,1.0,53893.33333333333
Sandbach CCS Gas,CCS Gas,CCS Gas,7.977531909942627,Daines,,100.0,1.0,1.0,1.0,53893.33333333333
Thornhill CCS Gas,CCS Gas,CCS Gas,7.122796535491943,Th. Marsh/Stocksbridge,,100.0,1.0,1.0,1.0,53893.33333333333
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,189.7512969970703,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
South Humber Bank CCS Gas,CCS Gas,CCS Gas,194.4523468017578,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
Langage CCS Gas,CCS Gas,CCS Gas,128.922607421875,S.W.Penisula,,100.0,1.0,1.0,1.0,53893.33333333333
Corby CCS Gas,CCS Gas,CCS Gas,57.97956085205078,Ratcliffe,,100.0,1.0,1.0,1.0,53893.33333333333
Carrington CCS Gas,CCS Gas,CCS Gas,129.6348876953125,Daines,,100.0,1.0,1.0,1.0,53893.33333333333
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,22.080669403076172,Harker,,100.0,1.0,1.0,1.0,53893.33333333333
Rocksavage CCS Gas,CCS Gas,CCS Gas,115.38929748535156,Deeside,,100.0,1.0,1.0,1.0,53893.33333333333
Coryton CCS Gas,CCS Gas,CCS Gas,113.9647445678711,Kemsley,,100.0,1.0,1.0,1.0,53893.33333333333
Spalding CCS Gas,CCS Gas,CCS Gas,135.3331298828125,Walpole,,100.0,1.0,1.0,1.0,53893.33333333333
Marchwood CCS Gas,CCS Gas,CCS Gas,127.92542266845705,Lovedean,,100.0,1.0,1.0,1.0,53893.33333333333
Didcot B CCS Gas,CCS Gas,CCS Gas,206.56109619140625,Bramley,,100.0,1.0,1.0,1.0,53893.33333333333
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,59.83148956298828,Bramford,,100.0,1.0,1.0,1.0,53893.33333333333
Little Barford CCS Gas,CCS Gas,CCS Gas,102.99563598632812,Sundon/East Claydon,,100.0,1.0,1.0,1.0,53893.33333333333
Pembroke CCS Gas,CCS Gas,CCS Gas,313.2605895996094,Melksham,,100.0,1.0,1.0,1.0,53893.33333333333
Staythorpe C CCS Gas,CCS Gas,CCS Gas,252.4319000244141,Ratcliffe,,100.0,1.0,1.0,1.0,53893.33333333333
Seabank CCS Gas,CCS Gas,CCS Gas,175.79061889648438,Melksham,,100.0,1.0,1.0,1.0,53893.33333333333
Peterhead CCS Gas,CCS Gas,CCS Gas,168.09799194335938,Peterhead,,100.0,1.0,1.0,1.0,53893.33333333333
Keadby CCS Gas,CCS Gas,CCS Gas,104.70510864257812,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
Medway CCS Gas,CCS Gas,CCS Gas,107.5542221069336,Kemsley,,100.0,1.0,1.0,1.0,53893.33333333333
Saltend* CCS Gas,CCS Gas,CCS Gas,170.94711303710938,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
Cottam Development Centre CCS Gas,CCS Gas,CCS Gas,63.39288711547851,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
Enfield CCS Gas,CCS Gas,CCS Gas,58.12201690673828,London,,100.0,1.0,1.0,1.0,53893.33333333333
Grain CHP* CCS Gas,CCS Gas,CCS Gas,216.1056365966797,Kemsley,,100.0,1.0,1.0,1.0,53893.33333333333
VPI Immingham* CCS Gas,CCS Gas,CCS Gas,178.3548126220703,Keadby,,100.0,1.0,1.0,1.0,53893.33333333333
Connahs Quay CCS Gas,CCS Gas,CCS Gas,196.58917236328125,Deeside,,100.0,1.0,1.0,1.0,53893.33333333333
Aberthaw Power Station Biomass,Biomass (co-firing),Biomass (co-firing),2.799999952316284,Melksham,,44.0,1.0,1.0,0.73,140998.43333333335
Drax Biomass Power Station - Unit 1,Biomass (co-firing),Biomass (co-firing),51.599998474121094,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),36.61466345065364,Walpole,,44.0,1.0,1.0,0.73,140998.43333333335
Chilton Energy Plant,Biomass (dedicated),Biomass (dedicated),17.118545055224164,Stella West,,44.0,1.0,1.0,0.73,140998.43333333335
Double H Nurseries Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.426545332697086,S.W.Penisula,,44.0,1.0,1.0,0.73,140998.43333333335
Beckton STW Biodiesel Power Plant,Biomass (dedicated),Biomass (dedicated),7.608241774384464,London,,44.0,1.0,1.0,0.73,140998.43333333335
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),Biomass (dedicated),1.902060443596116,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Invergordon Pellet Mill,Biomass (dedicated),Biomass (dedicated),1.123312149893071,Beauly,,44.0,1.0,1.0,0.73,140998.43333333335
Caledonian Papermill,Biomass (dedicated),Biomass (dedicated),5.841222878148176,Neilston,,44.0,1.0,1.0,0.73,140998.43333333335
Wilton International,Biomass (dedicated),Biomass (dedicated),33.476264374149835,Stella West,,44.0,1.0,1.0,0.73,140998.43333333335
South View Farm,Biomass (dedicated),Biomass (dedicated),1.902060443596116,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Cowie Biomass Facility,Biomass (dedicated),Biomass (dedicated),3.3699365333724884,Denny/Bonnybridge,,44.0,1.0,1.0,0.73,140998.43333333335
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),8.559272527612082,Penwortham,,44.0,1.0,1.0,0.73,140998.43333333335
Iggesund Paperboard CHP Plant,Biomass (dedicated),Biomass (dedicated),46.6004828166799,Harker,,44.0,1.0,1.0,0.73,140998.43333333335
Goosey Lodge Industrial Estate,Biomass (dedicated),Biomass (dedicated),15.216483548768927,Sundon/East Claydon,,44.0,1.0,1.0,0.73,140998.43333333335
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),13.314423459459183,Melksham,,44.0,1.0,1.0,0.73,140998.43333333335
Eccleshall Biomass,Biomass (dedicated),Biomass (dedicated),2.4726785058176755,Daines,,44.0,1.0,1.0,0.73,140998.43333333335
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),2.808280332886039,Denny/Bonnybridge,,44.0,1.0,1.0,0.73,140998.43333333335
Derriford Hospital,Biomass (dedicated),Biomass (dedicated),1.426545332697086,S.W.Penisula,,44.0,1.0,1.0,0.73,140998.43333333335
Rampton Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),1.1412363015863063,Keadby,,44.0,1.0,1.0,0.73,140998.43333333335
Elean Business Park Biomass Plant,Biomass (dedicated),Biomass (dedicated),38.04121028906781,Walpole,,44.0,1.0,1.0,0.73,140998.43333333335
Eye Biomass Plant,Biomass (dedicated),Biomass (dedicated),13.599733110571115,Bramford,,44.0,1.0,1.0,0.73,140998.43333333335
King's Yard,Biomass (dedicated),Biomass (dedicated),2.853090665394173,London,,44.0,1.0,1.0,0.73,140998.43333333335
Ridham CHP Plant,Biomass (dedicated),Biomass (dedicated),23.77575607638101,Kemsley,,44.0,1.0,1.0,0.73,140998.43333333335
Margam Green Energy Plant,Biomass (dedicated),Biomass (dedicated),38.04121028906781,Melksham,,44.0,1.0,1.0,0.73,140998.43333333335
Lynemouth Power Station,Biomass (dedicated),Biomass (dedicated),399.43268394373865,Stella West,,44.0,1.0,1.0,0.73,140998.43333333335
Holbrook Community Renewable Energy Centre,Biomass (dedicated),Biomass (dedicated),6.181696353115783,Th. Marsh/Stocksbridge,,44.0,1.0,1.0,0.73,140998.43333333335
Cramlington CHP,Biomass (dedicated),Biomass (dedicated),26.34353868495193,Stella West,,44.0,1.0,1.0,0.73,140998.43333333335
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),Biomass (dedicated),1.9971634834902403,Melksham,,44.0,1.0,1.0,0.73,140998.43333333335
Heathrow Airport Biomass CHP,Biomass (dedicated),Biomass (dedicated),1.7118543638078665,London,,44.0,1.0,1.0,0.73,140998.43333333335
Bentwaters CHP,Biomass (dedicated),Biomass (dedicated),4.374739126556978,Bramford,,44.0,1.0,1.0,0.73,140998.43333333335
SAICA Paper Mill,Biomass (dedicated),Biomass (dedicated),39.562856093082814,Daines,,44.0,1.0,1.0,0.73,140998.43333333335
Eco Composting,Biomass (dedicated),Biomass (dedicated),3.043296922325609,S.W.Penisula,,44.0,1.0,1.0,0.73,140998.43333333335
Rothes Bio-Plant,Biomass (dedicated),Biomass (dedicated),1.8646982374509835,Beauly,,44.0,1.0,1.0,0.73,140998.43333333335
Beckton Gas Pressure Reduction Station,Biomass (dedicated),Biomass (dedicated),18.06957439130629,London,,44.0,1.0,1.0,0.73,140998.43333333335
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),Biomass (dedicated),38.04121028906781,Keadby,,44.0,1.0,1.0,0.73,140998.43333333335
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),40.894301131605175,Kemsley,,44.0,1.0,1.0,0.73,140998.43333333335
Markinch Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),14.603057195370438,Denny/Bonnybridge,,44.0,1.0,1.0,0.73,140998.43333333335
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),39.94326896123206,Th. Marsh/Stocksbridge,,44.0,1.0,1.0,0.73,140998.43333333335
Blackburn Meadows Biomass Plant,Biomass (dedicated),Biomass (dedicated),28.530908425373607,Th. Marsh/Stocksbridge,,44.0,1.0,1.0,0.73,140998.43333333335
Diageo Biomass Energy Project,Biomass (dedicated),Biomass (dedicated),1.235643339774395,Denny/Bonnybridge,,44.0,1.0,1.0,0.73,140998.43333333335
Discovery Park,Biomass (dedicated),Biomass (dedicated),15.216483548768927,Sellindge,,44.0,1.0,1.0,0.73,140998.43333333335
Drax Biomass Power Station - Unit 3,Biomass (dedicated),Biomass (dedicated),613.4144886311677,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
King George Dock,Biomass (dedicated),Biomass (dedicated),8.559272527612082,Keadby,,44.0,1.0,1.0,0.73,140998.43333333335
Northampton General Hospital,Biomass (dedicated),Biomass (dedicated),1.806957403701991,Sundon/East Claydon,,44.0,1.0,1.0,0.73,140998.43333333335
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),42.03553690176192,Bramford,,44.0,1.0,1.0,0.73,140998.43333333335
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),2.808280332886039,Beauly,,44.0,1.0,1.0,0.73,140998.43333333335
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),19.020605144533903,Deeside,,44.0,1.0,1.0,0.73,140998.43333333335
Drax Biomass Power Station - Unit 2,Biomass (dedicated),Biomass (dedicated),613.4144886311677,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Stevens Croft,Biomass (dedicated),Biomass (dedicated),47.931925020911265,Harker,,44.0,1.0,1.0,0.73,140998.43333333335
Macphie of Glenbervie,Biomass (dedicated),Biomass (dedicated),0.2695949143004714,Peterhead,,44.0,1.0,1.0,0.73,140998.43333333335
Sleaford Renewable Energy Plant,Biomass (dedicated),Biomass (dedicated),38.04121028906781,Ratcliffe,,44.0,1.0,1.0,0.73,140998.43333333335
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),1.460305719537044,Torness,,44.0,1.0,1.0,0.73,140998.43333333335
Whitemoor,Biomass (dedicated),Biomass (dedicated),17.118545055224164,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Daventry,Biomass (dedicated),Biomass (dedicated),0.9510302217980572,Sundon/East Claydon,,44.0,1.0,1.0,0.73,140998.43333333335
The Sawmill,Biomass (dedicated),Biomass (dedicated),6.467006004227717,Ratcliffe,,44.0,1.0,1.0,0.73,140998.43333333335
Felinfach,Biomass (dedicated),Biomass (dedicated),3.043296922325609,Deeside,,44.0,1.0,1.0,0.73,140998.43333333335
Acharn Forest Killin Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.2581095442733496,Errochty,,44.0,1.0,1.0,0.73,140998.43333333335
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),Biomass (dedicated),20.92266523384365,Keadby,,44.0,1.0,1.0,0.73,140998.43333333335
Pulteney Distillery,Biomass (dedicated),Biomass (dedicated),0.786318496555822,Peterhead,,44.0,1.0,1.0,0.73,140998.43333333335
Harbour Road,Biomass (dedicated),Biomass (dedicated),0.5841222794454899,Neilston,,44.0,1.0,1.0,0.73,140998.43333333335
Barnsley 1.5,Biomass (dedicated),Biomass (dedicated),8.559272527612082,Th. Marsh/Stocksbridge,,44.0,1.0,1.0,0.73,140998.43333333335
Spalding.1,Biomass (dedicated),Biomass (dedicated),13.789938127500246,Walpole,,44.0,1.0,1.0,0.73,140998.43333333335
Balderton,Biomass (dedicated),Biomass (dedicated),19.305913378500343,Ratcliffe,,44.0,1.0,1.0,0.73,140998.43333333335
Liberty Steel Power Station,Biomass (dedicated),Biomass (dedicated),8.559272527612082,Melksham,,44.0,1.0,1.0,0.73,140998.43333333335
JG Pears' animal rendering facility,Biomass (dedicated),Biomass (dedicated),11.412362661576696,Keadby,,44.0,1.0,1.0,0.73,140998.43333333335
Blazer Fuels,Biomass (dedicated),Biomass (dedicated),2.853090665394173,Deeside,,44.0,1.0,1.0,0.73,140998.43333333335
Loicher Lane,Biomass (dedicated),Biomass (dedicated),7.608241774384464,Th. Marsh/Stocksbridge,,44.0,1.0,1.0,0.73,140998.43333333335
Safran Landing Systems Service,Biomass (dedicated),Biomass (dedicated),3.423708727615734,Feckenham,,44.0,1.0,1.0,0.73,140998.43333333335
ABP Ellesmere Abbatoir,Biomass (dedicated),Biomass (dedicated),1.046133261692182,Deeside,,44.0,1.0,1.0,0.73,140998.43333333335
Alscot,Biomass (dedicated),Biomass (dedicated),1.5216484611628045,Feckenham,,44.0,1.0,1.0,0.73,140998.43333333335
Ipswich Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),2.4726785058176755,Bramford,,44.0,1.0,1.0,0.73,140998.43333333335
Drax Biomass Power Station - Unit 4,Biomass (dedicated),Biomass (dedicated),613.4144886311677,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73,140998.43333333335
Liberty Steel Dalzell,Biomass (dedicated),Biomass (dedicated),3.8192612928977856,Strathaven,,44.0,1.0,1.0,0.73,140998.43333333335
Sutton Bridge CCS Biomass,CCS Biomass,CCS Biomass,77.59618377685547,Walpole,,120.0,1.0,1.0,1.0,140998.43333333335
Baglan Bay CCS Biomass,CCS Biomass,CCS Biomass,49.26741790771485,Melksham,,120.0,1.0,1.0,1.0,140998.43333333335
Severn Power CCS Biomass,CCS Biomass,CCS Biomass,80.53327941894531,Melksham,,120.0,1.0,1.0,1.0,140998.43333333335
Blackburn CCS Biomass,CCS Biomass,CCS Biomass,5.684701919555664,Penwortham,,120.0,1.0,1.0,1.0,140998.43333333335
Damhead Creek CCS Biomass,CCS Biomass,CCS Biomass,76.2697525024414,Kemsley,,120.0,1.0,1.0,1.0,140998.43333333335
Rye House CCS Biomass,CCS Biomass,CCS Biomass,67.7426986694336,Pelham,,120.0,1.0,1.0,1.0,140998.43333333335
Shoreham CCS Biomass,CCS Biomass,CCS Biomass,39.79291534423828,Lovedean,,120.0,1.0,1.0,1.0,140998.43333333335
Castleford CCS Biomass,CCS Biomass,CCS Biomass,5.305721759796143,Thornton/Drax/Eggborough,,120.0,1.0,1.0,1.0,140998.43333333335
Sandbach CCS Biomass,CCS Biomass,CCS Biomass,5.305721759796143,Daines,,120.0,1.0,1.0,1.0,140998.43333333335
Thornhill CCS Biomass,CCS Biomass,CCS Biomass,4.7372517585754395,Th. Marsh/Stocksbridge,,120.0,1.0,1.0,1.0,140998.43333333335
West Burton CCGT CCS Biomass,CCS Biomass,CCS Biomass,126.20038604736328,Keadby,,120.0,1.0,1.0,1.0,140998.43333333335
South Humber Bank CCS Biomass,CCS Biomass,CCS Biomass,129.32696533203125,Keadby,,120.0,1.0,1.0,1.0,140998.43333333335
Langage CCS Biomass,CCS Biomass,CCS Biomass,85.74425506591797,S.W.Penisula,,120.0,1.0,1.0,1.0,140998.43333333335
Corby CCS Biomass,CCS Biomass,CCS Biomass,38.56122970581055,Ratcliffe,,120.0,1.0,1.0,1.0,140998.43333333335
Carrington CCS Biomass,CCS Biomass,CCS Biomass,86.21797943115234,Daines,,120.0,1.0,1.0,1.0,140998.43333333335
Fellside CHP* CCS Biomass,CCS Biomass,CCS Biomass,14.685480117797852,Harker,,120.0,1.0,1.0,1.0,140998.43333333335
Rocksavage CCS Biomass,CCS Biomass,CCS Biomass,76.74347686767578,Deeside,,120.0,1.0,1.0,1.0,140998.43333333335
Coryton CCS Biomass,CCS Biomass,CCS Biomass,75.79602813720703,Kemsley,,120.0,1.0,1.0,1.0,140998.43333333335
Spalding CCS Biomass,CCS Biomass,CCS Biomass,90.00778198242188,Walpole,,120.0,1.0,1.0,1.0,140998.43333333335
