,carrier,type,p_nom,bus,Turbine Capacity (MW),marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,capital_cost
Mor,Tidal stream,Tidal stream,1142.0000000000002,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
Isl-Wig,Tidal stream,Tidal stream,144.00000000000003,Lovedean,,0.0,1.0,1.0,1.0,145344.47200000004
Kyl-Rhe,Tidal stream,Tidal stream,40.0,Beauly,,0.0,1.0,1.0,1.0,145344.47200000004
Wes-Sou,Tidal stream,Tidal stream,952.0,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Las-Sou,Tidal stream,Tidal stream,144.00000000000003,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Sou-Isl,Tidal stream,Tidal stream,48.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Ald-Rac,Tidal stream,Tidal stream,6652.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Bri,Tidal stream,Tidal stream,952.0,Beauly,,0.0,1.0,1.0,1.0,145344.47200000004
Isl-dem,Tidal stream,Tidal stream,476.00000000000006,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Bro-Nes,Tidal stream,Tidal stream,476.00000000000006,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Mul-Gal,Tidal stream,Tidal stream,144.00000000000003,Harker,,0.0,1.0,1.0,1.0,145344.47200000004
Str-Sou,Tidal stream,Tidal stream,476.00000000000006,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Wes-Isl,Tidal stream,Tidal stream,144.00000000000003,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Por-Bil,Tidal stream,Tidal stream,144.00000000000003,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Nes-Dun,Tidal stream,Tidal stream,476.00000000000006,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Bar,Tidal stream,Tidal stream,16.0,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
St-Dav-Hea,Tidal stream,Tidal stream,48.0,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
Ang Ske,Tidal stream,Tidal stream,48.0,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
Mul-Kin,Tidal stream,Tidal stream,144.00000000000003,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Isl-Man,Tidal stream,Tidal stream,971.9999999999942,Penwortham,,0.0,1.0,1.0,1.0,145344.47200000004
Bar-Bri-Cha,Tidal stream,Tidal stream,0.0,Melksham,,0.0,1.0,1.0,1.0,145344.47200000004
Rai-Isl,Tidal stream,Tidal stream,0.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Big-Rus,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Bri-Cha-Min,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Eas-Cas,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Eas-Rai-Sou,Tidal stream,Tidal stream,0.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Fai-Hea,Tidal stream,Tidal stream,0.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Hol,Tidal stream,Tidal stream,0.0,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
NE-Jer,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Nor-Ron-Fir,Tidal stream,Tidal stream,0.0,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Pen-Fir-Dee,Tidal stream,Tidal stream,0.0,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Ram-Isl,Tidal stream,Tidal stream,0.0,Deeside,,0.0,1.0,1.0,1.0,145344.47200000004
Sou-Jer,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Sou-Min-Jer,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Str-Lou,Tidal stream,Tidal stream,0.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Tor-Hea,Tidal stream,Tidal stream,0.0,Neilston,,0.0,1.0,1.0,1.0,145344.47200000004
Wes-Cas,Tidal stream,Tidal stream,0.0,S.W.Penisula,,0.0,1.0,1.0,1.0,145344.47200000004
Wes-Fir,Tidal stream,Tidal stream,0.0,Peterhead,,0.0,1.0,1.0,1.0,145344.47200000004
Unmet Load Beauly,Unmet Load,Unmet Load,999999999.0,Beauly,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Peterhead,Unmet Load,Unmet Load,999999999.0,Peterhead,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Errochty,Unmet Load,Unmet Load,999999999.0,Errochty,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Denny/Bonnybridge,Unmet Load,Unmet Load,999999999.0,Denny/Bonnybridge,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Neilston,Unmet Load,Unmet Load,999999999.0,Neilston,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Strathaven,Unmet Load,Unmet Load,999999999.0,Strathaven,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Torness,Unmet Load,Unmet Load,999999999.0,Torness,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Eccles,Unmet Load,Unmet Load,999999999.0,Eccles,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Harker,Unmet Load,Unmet Load,999999999.0,Harker,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Stella West,Unmet Load,Unmet Load,999999999.0,Stella West,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Penwortham,Unmet Load,Unmet Load,999999999.0,Penwortham,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Deeside,Unmet Load,Unmet Load,999999999.0,Deeside,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Daines,Unmet Load,Unmet Load,999999999.0,Daines,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Th. Marsh/Stocksbridge,Unmet Load,Unmet Load,999999999.0,Th. Marsh/Stocksbridge,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Thornton/Drax/Eggborough,Unmet Load,Unmet Load,999999999.0,Thornton/Drax/Eggborough,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Keadby,Unmet Load,Unmet Load,999999999.0,Keadby,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Ratcliffe,Unmet Load,Unmet Load,999999999.0,Ratcliffe,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Feckenham,Unmet Load,Unmet Load,999999999.0,Feckenham,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Walpole,Unmet Load,Unmet Load,999999999.0,Walpole,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Bramford,Unmet Load,Unmet Load,999999999.0,Bramford,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Pelham,Unmet Load,Unmet Load,999999999.0,Pelham,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Sundon/East Claydon,Unmet Load,Unmet Load,999999999.0,Sundon/East Claydon,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Melksham,Unmet Load,Unmet Load,999999999.0,Melksham,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Bramley,Unmet Load,Unmet Load,999999999.0,Bramley,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load London,Unmet Load,Unmet Load,999999999.0,London,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Kemsley,Unmet Load,Unmet Load,999999999.0,Kemsley,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Sellindge,Unmet Load,Unmet Load,999999999.0,Sellindge,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load Lovedean,Unmet Load,Unmet Load,999999999.0,Lovedean,,999999999.0,1.0,1.0,1.0,0.0
Unmet Load S.W.Penisula,Unmet Load,Unmet Load,999999999.0,S.W.Penisula,,999999999.0,1.0,1.0,1.0,0.0
Wind Offshore Keadby,Wind Offshore,Wind Offshore,3127.0806836162096,Keadby,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Peterhead,Wind Offshore,Floating Wind,21386.045609209697,Peterhead,15.0,0.0,1.0,1.0,1.0,86860.0
Wind Offshore Deeside,Wind Offshore,Wind Offshore,2398.917610145578,Deeside,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Bramford,Wind Offshore,Wind Offshore,16631.15525972333,Bramford,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Walpole,Wind Offshore,Wind Offshore,14836.657652690088,Walpole,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Kemsley,Wind Offshore,Wind Offshore,311.591253831758,Kemsley,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Harker,Wind Offshore,Wind Offshore,388.6514563923003,Harker,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Sellindge,Wind Offshore,Wind Offshore,670.0887179177591,Sellindge,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Penwortham,Wind Offshore,Wind Offshore,3699.336475983955,Penwortham,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Stella West,Wind Offshore,Wind Offshore,11399.549265808671,Stella West,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Lovedean,Wind Offshore,Wind Offshore,893.4516238903456,Lovedean,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Torness,Wind Offshore,Wind Offshore,2051.535121022282,Torness,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Offshore Beauly,Wind Offshore,Floating Wind,8978.821791113249,Beauly,15.0,0.0,1.0,1.0,1.0,86860.0
Wind Offshore Neilston,Wind Offshore,Wind Offshore,2284.687478654771,Neilston,,0.0,1.0,1.0,1.0,75393.33333333333
Wind Onshore Keadby,Wind Onshore,Wind Onshore,1369.0428737342754,Keadby,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Peterhead,Wind Onshore,Wind Onshore,2802.312006747289,Peterhead,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Deeside,Wind Onshore,Wind Onshore,1805.8742733886677,Deeside,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Bramford,Wind Onshore,Wind Onshore,154.4688947720252,Bramford,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Walpole,Wind Onshore,Wind Onshore,1316.7227739071616,Walpole,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Kemsley,Wind Onshore,Wind Onshore,381.18937162966296,Kemsley,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Harker,Wind Onshore,Wind Onshore,1821.6533298774332,Harker,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Sellindge,Wind Onshore,Wind Onshore,279.45582196132705,Sellindge,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Penwortham,Wind Onshore,Wind Onshore,969.1677518963972,Penwortham,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Stella West,Wind Onshore,Wind Onshore,1600.7462453179787,Stella West,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Torness,Wind Onshore,Wind Onshore,2788.643906701573,Torness,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Beauly,Wind Onshore,Wind Onshore,7339.453660956608,Beauly,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Neilston,Wind Onshore,Wind Onshore,6571.98730363015,Neilston,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Melksham,Wind Onshore,Wind Onshore,3064.4635659689416,Melksham,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Pelham,Wind Onshore,Wind Onshore,191.00992893172528,Pelham,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Thornton/Drax/Eggborough,Wind Onshore,Wind Onshore,1158.9319741541008,Thornton/Drax/Eggborough,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Daines,Wind Onshore,Wind Onshore,230.04238669795748,Daines,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Th. Marsh/Stocksbridge,Wind Onshore,Wind Onshore,331.3606932493996,Th. Marsh/Stocksbridge,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore S.W.Penisula,Wind Onshore,Wind Onshore,988.683984019036,S.W.Penisula,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Ratcliffe,Wind Onshore,Wind Onshore,601.2660239473768,Ratcliffe,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Bramley,Wind Onshore,Wind Onshore,8.304779190123421,Bramley,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Sundon/East Claydon,Wind Onshore,Wind Onshore,663.1366355548182,Sundon/East Claydon,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore London,Wind Onshore,Wind Onshore,56.4724996806643,London,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Denny/Bonnybridge,Wind Onshore,Wind Onshore,1140.6069438961265,Denny/Bonnybridge,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Errochty,Wind Onshore,Wind Onshore,894.9219580192414,Errochty,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Feckenham,Wind Onshore,Wind Onshore,257.44815651358743,Feckenham,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Strathaven,Wind Onshore,Wind Onshore,5630.935299744102,Strathaven,,0.0,1.0,1.0,1.0,44664.1
Wind Onshore Eccles,Wind Onshore,Wind Onshore,356.3969559122306,Eccles,,0.0,1.0,1.0,1.0,44664.1
Solar Photovoltaics Keadby,Solar Photovoltaics,Solar Photovoltaics,2861.8175114605415,Keadby,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Peterhead,Solar Photovoltaics,Solar Photovoltaics,1079.3481710609913,Peterhead,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Deeside,Solar Photovoltaics,Solar Photovoltaics,2950.253147454432,Deeside,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Bramford,Solar Photovoltaics,Solar Photovoltaics,3418.1391885641865,Bramford,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Walpole,Solar Photovoltaics,Solar Photovoltaics,5002.782039913408,Walpole,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Kemsley,Solar Photovoltaics,Solar Photovoltaics,2718.880918138143,Kemsley,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Harker,Solar Photovoltaics,Solar Photovoltaics,576.8881236402345,Harker,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Sellindge,Solar Photovoltaics,Solar Photovoltaics,1750.2024480375387,Sellindge,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Penwortham,Solar Photovoltaics,Solar Photovoltaics,1046.8308466008746,Penwortham,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Stella West,Solar Photovoltaics,Solar Photovoltaics,615.9643335372108,Stella West,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Lovedean,Solar Photovoltaics,Solar Photovoltaics,4528.726024376337,Lovedean,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Torness,Solar Photovoltaics,Solar Photovoltaics,2498.49118442038,Torness,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Beauly,Solar Photovoltaics,Solar Photovoltaics,19.98792861667084,Beauly,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Neilston,Solar Photovoltaics,Solar Photovoltaics,499.698236884076,Neilston,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Melksham,Solar Photovoltaics,Solar Photovoltaics,15737.425592919726,Melksham,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Pelham,Solar Photovoltaics,Solar Photovoltaics,5161.143403197723,Pelham,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Thornton/Drax/Eggborough,Solar Photovoltaics,Solar Photovoltaics,1110.5867841247923,Thornton/Drax/Eggborough,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Daines,Solar Photovoltaics,Solar Photovoltaics,666.3520517437312,Daines,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Th. Marsh/Stocksbridge,Solar Photovoltaics,Solar Photovoltaics,1414.9698202755706,Th. Marsh/Stocksbridge,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics S.W.Penisula,Solar Photovoltaics,Solar Photovoltaics,16439.76889164425,S.W.Penisula,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Ratcliffe,Solar Photovoltaics,Solar Photovoltaics,5319.504859254217,Ratcliffe,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Bramley,Solar Photovoltaics,Solar Photovoltaics,3632.030003176546,Bramley,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Sundon/East Claydon,Solar Photovoltaics,Solar Photovoltaics,5182.738157305948,Sundon/East Claydon,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics London,Solar Photovoltaics,Solar Photovoltaics,498.7357259348955,London,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Denny/Bonnybridge,Solar Photovoltaics,Solar Photovoltaics,3248.0384367034294,Denny/Bonnybridge,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Errochty,Solar Photovoltaics,Solar Photovoltaics,29.98189507173676,Errochty,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Feckenham,Solar Photovoltaics,Solar Photovoltaics,3647.4548177574625,Feckenham,,0.0,1.0,1.0,1.0,12599.0
Solar Photovoltaics Strathaven,Solar Photovoltaics,Solar Photovoltaics,149.9094581848398,Strathaven,,0.0,1.0,1.0,1.0,12599.0
Large Hydro Deeside,Large Hydro,Large Hydro,192.3331174850464,Deeside,,0.0,1.0,1.0,1.0,83850.0
Large Hydro Harker,Large Hydro,Large Hydro,45.82157516479492,Harker,,0.0,1.0,1.0,1.0,83850.0
Large Hydro Beauly,Large Hydro,Large Hydro,816.6814441680908,Beauly,,0.0,1.0,1.0,1.0,83850.0
Large Hydro Neilston,Large Hydro,Large Hydro,267.2925138473511,Neilston,,0.0,1.0,1.0,1.0,83850.0
Large Hydro Errochty,Large Hydro,Large Hydro,522.0134744644165,Errochty,,0.0,1.0,1.0,1.0,83850.0
Large Hydro Strathaven,Large Hydro,Large Hydro,106.91700553894044,Strathaven,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Deeside,Small Hydro,Small Hydro,12.454068750143051,Deeside,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Stella West,Small Hydro,Small Hydro,0.939929723739624,Stella West,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Beauly,Small Hydro,Small Hydro,101.74739053845406,Beauly,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Neilston,Small Hydro,Small Hydro,38.53711771965027,Neilston,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Ratcliffe,Small Hydro,Small Hydro,1.9973506927490232,Ratcliffe,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Denny/Bonnybridge,Small Hydro,Small Hydro,8.459367096424103,Denny/Bonnybridge,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Errochty,Small Hydro,Small Hydro,85.0636371076107,Errochty,,0.0,1.0,1.0,1.0,83850.0
Small Hydro Feckenham,Small Hydro,Small Hydro,6.462016701698303,Feckenham,,0.0,1.0,1.0,1.0,83850.0
Tidal lagoon Deeside,Tidal lagoon,Tidal lagoon,40.0,Deeside,,0.0,1.0,1.0,,146.0
Tidal lagoon Melksham,Tidal lagoon,Tidal lagoon,672.0,Melksham,,0.0,1.0,1.0,,146.0
Tidal lagoon S.W.Penisula,Tidal lagoon,Tidal lagoon,37.0,S.W.Penisula,,0.0,1.0,1.0,,146.0
Wave power Beauly,Wave power,Wave power,7.0,Beauly,,0.0,1.0,1.0,,86286.6666666667
Wave power Melksham,Wave power,Wave power,36.0,Melksham,,0.0,1.0,1.0,,86286.6666666667
